,Product,Origin,Destination,Helper,pairLength,pairCoint,pairIntegrated,pairSAD,issues
542,Rice,Ruhengeri,Kamembe,RiceRuhengeriKamembe,55,1.0,1.0,0.4033925465444481,0
543,Rice,Ruhengeri,Kabale,RiceRuhengeriKabale,97,0.0,1.0,0.21892522719097585,1
544,Rice,Ruhengeri,Kigali,RiceRuhengeriKigali,98,0.0,0.0,0.0,1
545,Rice,Ruhengeri,Ngozi,RiceRuhengeriNgozi,98,0.0,1.0,0.1320648787569074,0
546,Rice,Ruhengeri,Mulindi,RiceRuhengeriMulindi,86,0.0,0.0,0.0,1
547,Rice,Tororo,Kasese,RiceTororoKasese,75,1.0,1.0,0.4192544677752696,0
548,Rice,Tororo,Kampala,RiceTororoKampala,81,1.0,1.0,0.24055402453791652,0
549,Rice,Tororo,Masindi,RiceTororoMasindi,80,1.0,1.0,0.38505495524961125,1
550,Rice,Tororo,Eldoret,RiceTororoEldoret,81,1.0,1.0,0.3089901060430965,0
551,Rice,Tororo,Kisumu,RiceTororoKisumu,81,1.0,1.0,0.31331660533552513,1
561,Soya beans,Gitega,Bujumbura,Soya beansGitegaBujumbura,83,1.0,1.0,0.2213096919755797,0
567,Soya beans,Kamembe,Bujumbura,Soya beansKamembeBujumbura,54,1.0,1.0,0.3806884854465244,1
571,Soya beans,Kampala,Busia,Soya beansKampalaBusia,73,1.0,1.0,0.2404326840175719,1
575,Soya beans,Kigali,Gitega,Soya beansKigaliGitega,84,1.0,1.0,0.24986463195300218,0
577,Soya beans,Kigali,Kamembe,Soya beansKigaliKamembe,55,1.0,1.0,0.45410485796111494,1
581,Soya beans,Lira,Gulu,Soya beansLiraGulu,56,1.0,1.0,0.326346252001089,1
584,Soya beans,Masindi,Kampala,Soya beansMasindiKampala,54,0.0,1.0,0.19277479326680047,1
585,Soya beans,Masindi,Busia,Soya beansMasindiBusia,56,0.0,1.0,0.31170795321803035,1
587,Soya beans,Masindi,Lira,Soya beansMasindiLira,55,0.0,1.0,0.22581970556756903,1
589,Soya beans,Masindi,Gulu,Soya beansMasindiGulu,37,0.0,1.0,0.2111215004334453,1
591,Soya beans,Mbale,Kampala,Soya beansMbaleKampala,63,1.0,1.0,0.5594268031300621,1
592,Soya beans,Mbale,Busia,Soya beansMbaleBusia,64,1.0,1.0,0.5152878913388509,1
593,Soya beans,Mbale,Masindi,Soya beansMbaleMasindi,50,1.0,1.0,0.3306580366119178,1
595,Soya beans,Ngozi,Kamembe,Soya beansNgoziKamembe,55,1.0,1.0,0.4483750324806753,1
596,Soya beans,Ngozi,Gitega,Soya beansNgoziGitega,84,1.0,1.0,0.5541747878599587,1
597,Soya beans,Ngozi,Kigali,Soya beansNgoziKigali,84,0.0,1.0,0.1282992364489391,0
599,Soya beans,Ngozi,Bujumbura,Soya beansNgoziBujumbura,82,1.0,1.0,0.19638148405065406,1
601,Soya beans,Rubavu,Kamembe,Soya beansRubavuKamembe,55,0.0,1.0,0.42469448665665704,1
602,Soya beans,Rubavu,Ngozi,Soya beansRubavuNgozi,63,0.0,1.0,0.8346645602984333,0
603,Soya beans,Ruhengeri,Kigali,Soya beansRuhengeriKigali,83,1.0,1.0,0.16739142744304808,1
604,Soya beans,Ruhengeri,Masindi,Soya beansRuhengeriMasindi,59,0.0,1.0,0.20364812910439595,1
605,Soya beans,Ruhengeri,Rubavu,Soya beansRuhengeriRubavu,63,0.0,1.0,0.21599014469107902,1
606,Soya beans,Ruhengeri,Kampala,Soya beansRuhengeriKampala,77,0.0,1.0,0.1571954224584921,1
607,Soya beans,Soroti,Mbale,Soya beansSorotiMbale,55,1.0,1.0,0.42249023468544095,1
608,Soya beans,Soroti,Kampala,Soya beansSorotiKampala,52,1.0,1.0,0.25473962011180734,1
609,Soya beans,Soroti,Busia,Soya beansSorotiBusia,51,1.0,1.0,0.3488376505724783,1
610,Soya beans,Soroti,Masindi,Soya beansSorotiMasindi,37,0.0,1.0,0.2375479942117488,1
611,Soya beans,Soroti,Lira,Soya beansSorotiLira,57,1.0,1.0,0.4326984190721993,0
613,Soya beans,Tororo,Mbale,Soya beansTororoMbale,60,1.0,1.0,0.7007908854915743,1
614,Soya beans,Tororo,Soroti,Soya beansTororoSoroti,51,1.0,1.0,0.4483613168716857,0
615,Soya beans,Tororo,Kampala,Soya beansTororoKampala,59,1.0,1.0,0.39661114225513616,1
616,Soya beans,Tororo,Busia,Soya beansTororoBusia,57,1.0,1.0,0.7110284943802728,0
617,Soya beans,Tororo,Masindi,Soya beansTororoMasindi,42,0.0,1.0,0.3118370216446149,1
627,Yellow Beans,Eldoret,Busia,Yellow BeansEldoretBusia,84,1.0,1.0,0.2140954154463782,0
632,Yellow Beans,Gitega,Bujumbura,Yellow BeansGitegaBujumbura,95,1.0,1.0,0.5006301245582183,1
638,Yellow Beans,Kampala,Busia,Yellow BeansKampalaBusia,84,1.0,1.0,1.5167718389887943,0
644,Yellow Beans,Kasese,Kabale,Yellow BeansKaseseKabale,70,1.0,1.0,0.362427036003756,0
645,Yellow Beans,Kasese,Kampala,Yellow BeansKaseseKampala,77,1.0,1.0,0.3594086374664565,0
646,Yellow Beans,Kasese,Busia,Yellow BeansKaseseBusia,77,1.0,1.0,0.275323822477487,0
649,Yellow Beans,Kisumu,Kampala,Yellow BeansKisumuKampala,84,1.0,1.0,0.5016548777191854,0
650,Yellow Beans,Kisumu,Busia,Yellow BeansKisumuBusia,84,1.0,1.0,0.4591639849077637,0
652,Yellow Beans,Kisumu,Eldoret,Yellow BeansKisumuEldoret,84,0.0,1.0,0.0,1
654,Yellow Beans,Lira,Kampala,Yellow BeansLiraKampala,96,1.0,1.0,0.2976295014683776,1
656,Yellow Beans,Lira,Gulu,Yellow BeansLiraGulu,71,1.0,1.0,0.618133187429096,1
658,Yellow Beans,Machakos,Eldoret,Yellow BeansMachakosEldoret,76,1.0,1.0,0.26017389343976693,1
661,Yellow Beans,Makueni,Machakos,Yellow BeansMakueniMachakos,75,1.0,1.0,0.0,1
662,Yellow Beans,Makueni,Eldoret,Yellow BeansMakueniEldoret,78,1.0,1.0,0.20309907061564464,0
665,Yellow Beans,Masindi,Kasese,Yellow BeansMasindiKasese,77,1.0,1.0,0.41708583551939826,0
666,Yellow Beans,Masindi,Kampala,Yellow BeansMasindiKampala,99,1.0,1.0,0.25803067959101705,1
667,Yellow Beans,Masindi,Busia,Yellow BeansMasindiBusia,84,1.0,1.0,0.15334786051400232,1
668,Yellow Beans,Masindi,Lira,Yellow BeansMasindiLira,96,1.0,1.0,0.41048617072009924,1
670,Yellow Beans,Masindi,Gulu,Yellow BeansMasindiGulu,71,1.0,1.0,0.46737340323908594,1
671,Yellow Beans,Mombasa,Machakos,Yellow BeansMombasaMachakos,78,1.0,1.0,0.43202386697307504,0
672,Yellow Beans,Mombasa,Makueni,Yellow BeansMombasaMakueni,80,1.0,1.0,0.3000818230573835,1
674,Yellow Beans,Nairobi,Makueni,Yellow BeansNairobiMakueni,77,0.0,1.0,0.10360710818050912,1
675,Yellow Beans,Nairobi,Kampala,Yellow BeansNairobiKampala,82,1.0,1.0,0.2307795987876625,0
676,Yellow Beans,Nairobi,Mombasa,Yellow BeansNairobiMombasa,83,0.0,1.0,0.009499213808917948,1
677,Yellow Beans,Nairobi,Machakos,Yellow BeansNairobiMachakos,75,0.0,1.0,0.11928402995861702,1
678,Yellow Beans,Nairobi,Eldoret,Yellow BeansNairobiEldoret,81,0.0,1.0,0.10165157051833536,1
679,Yellow Beans,Nairobi,Kisumu,Yellow BeansNairobiKisumu,81,0.0,1.0,0.07834288378826769,1
680,Yellow Beans,Ngozi,Gitega,Yellow BeansNgoziGitega,98,1.0,1.0,0.42734926858759525,1
681,Yellow Beans,Ngozi,Bujumbura,Yellow BeansNgoziBujumbura,96,1.0,1.0,0.49008244227579223,0
682,Yellow Beans,Tororo,Kasese,Yellow BeansTororoKasese,71,1.0,1.0,0.2522122788350129,0
683,Yellow Beans,Tororo,Kampala,Yellow BeansTororoKampala,78,1.0,1.0,0.4179188996118942,1
684,Yellow Beans,Tororo,Busia,Yellow BeansTororoBusia,78,1.0,1.0,0.5639101963964839,1
685,Yellow Beans,Tororo,Masindi,Yellow BeansTororoMasindi,78,1.0,1.0,0.24340711991355637,1
686,Yellow Beans,Tororo,Eldoret,Yellow BeansTororoEldoret,78,1.0,1.0,0.2413419668911112,0
687,Yellow Beans,Tororo,Kisumu,Yellow BeansTororoKisumu,78,1.0,1.0,0.4803793929186331,0
