,Chain,Length,ChainAverage,startingChain,startingEdgeWeight,oneLevelDown,oneLevelDownEdgeWeight,marginalAvgIncrease
28,"[('Kisumu', 'Nairobi'), ('Nairobi', 'Meru'), ('Meru', 'Makueni')]",3,0.2436061319277213,"('Kisumu', 'Nairobi')",0.1609224868021304,"[('Kisumu', 'Nairobi'), ('Nairobi', 'Meru')]",0.2345360263278927,0.009070105599828598
29,"[('Kisumu', 'Nairobi'), ('Nairobi', 'Meru'), ('Meru', 'Machakos'), ('Machakos', 'Makueni')]",4,0.30819215367744907,"('Kisumu', 'Nairobi')",0.1609224868021304,"[('Kisumu', 'Nairobi'), ('Nairobi', 'Meru'), ('Meru', 'Machakos')]",0.2636080023252743,0.04458415135217475
30,"[('Kisumu', 'Nairobi'), ('Nairobi', 'Meru'), ('Meru', 'Machakos'), ('Machakos', 'Mombasa'), ('Mombasa', 'Makueni')]",5,0.3500319870607167,"('Kisumu', 'Nairobi')",0.1609224868021304,"[('Kisumu', 'Nairobi'), ('Nairobi', 'Meru'), ('Meru', 'Machakos'), ('Machakos', 'Mombasa')]",0.34093893595443475,0.009093051106281946
31,"[('Kisumu', 'Nairobi'), ('Nairobi', 'Nakuru'), ('Nakuru', 'Meru'), ('Meru', 'Makueni')]",4,0.33127485878139,"('Kisumu', 'Nairobi')",0.1609224868021304,"[('Kisumu', 'Nairobi'), ('Nairobi', 'Nakuru'), ('Nakuru', 'Meru')]",0.3544510306660605,-0.02317617188467047
32,"[('Kisumu', 'Nairobi'), ('Nairobi', 'Nakuru'), ('Nakuru', 'Meru'), ('Meru', 'Machakos'), ('Machakos', 'Makueni')]",5,0.3654099308104385,"('Kisumu', 'Nairobi')",0.1609224868021304,"[('Kisumu', 'Nairobi'), ('Nairobi', 'Nakuru'), ('Nakuru', 'Meru'), ('Meru', 'Machakos')]",0.34627626157955477,0.01913366923088372
33,"[('Kisumu', 'Nairobi'), ('Nairobi', 'Nakuru'), ('Nakuru', 'Meru'), ('Meru', 'Machakos'), ('Machakos', 'Mombasa'), ('Mombasa', 'Makueni')]",6,0.3907401624409966,"('Kisumu', 'Nairobi')",0.1609224868021304,"[('Kisumu', 'Nairobi'), ('Nairobi', 'Nakuru'), ('Nakuru', 'Meru'), ('Meru', 'Machakos'), ('Machakos', 'Mombasa')]",0.39160735663202706,-0.0008671941910304848
34,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Meru'), ('Meru', 'Makueni'), ('Makueni', 'Machakos'), ('Machakos', 'Mombasa')]",6,0.3854108062776928,"('Kisumu', 'Eldoret')",0.2764715107779297,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Meru'), ('Meru', 'Makueni'), ('Makueni', 'Machakos')]",0.3479066201648481,0.03750418611284473
35,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Meru'), ('Meru', 'Makueni'), ('Makueni', 'Mombasa')]",5,0.33679853691522227,"('Kisumu', 'Eldoret')",0.2764715107779297,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Meru'), ('Meru', 'Makueni')]",0.32439712327256676,0.012401413642655512
36,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Meru'), ('Meru', 'Makueni'), ('Makueni', 'Nairobi'), ('Nairobi', 'Mombasa')]",6,0.31446087374016624,"('Kisumu', 'Eldoret')",0.2764715107779297,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Meru'), ('Meru', 'Makueni'), ('Makueni', 'Nairobi')]",0.33107407213343076,-0.016613198393264528
37,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Meru'), ('Meru', 'Machakos'), ('Machakos', 'Makueni'), ('Makueni', 'Mombasa')]",6,0.3643238172504573,"('Kisumu', 'Eldoret')",0.2764715107779297,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Meru'), ('Meru', 'Machakos'), ('Machakos', 'Makueni')]",0.3599077424033799,0.0044160748470774
