,Chain,Length,ChainAverage,startingChain
2245,"[('Mulindi', 'Kabale'), ('Kabale', 'Ruhengeri'), ('Ruhengeri', 'Rubavu'), ('Rubavu', 'Ngozi'), ('Ngozi', 'Bujumbura')]",5,0.1852885935774939,"('Mulindi', 'Kabale')"
2246,"[('Mulindi', 'Ruhengeri'), ('Ruhengeri', 'Ngozi'), ('Ngozi', 'Bujumbura')]",3,0.2443898209175257,"('Mulindi', 'Ruhengeri')"
2247,"[('Mulindi', 'Ruhengeri'), ('Ruhengeri', 'Rubavu'), ('Rubavu', 'Ngozi'), ('Ngozi', 'Bujumbura')]",4,0.20500280193328962,"('Mulindi', 'Ruhengeri')"
2248,"[('Mulindi', 'Kabale'), ('Kabale', 'Kasese'), ('Kasese', 'Kampala'), ('Kampala', 'Lira'), ('Lira', 'Gulu')]",5,0.18903418012167156,"('Mulindi', 'Kabale')"
2249,"[('Mulindi', 'Kabale'), ('Kabale', 'Kasese'), ('Kasese', 'Kampala'), ('Kampala', 'Masindi'), ('Masindi', 'Lira'), ('Lira', 'Gulu')]",6,0.2613345805739535,"('Mulindi', 'Kabale')"
2250,"[('Mulindi', 'Kabale'), ('Kabale', 'Kasese'), ('Kasese', 'Kampala'), ('Kampala', 'Tororo'), ('Tororo', 'Masindi'), ('Masindi', 'Lira'), ('Lira', 'Gulu')]",7,0.2571366184195814,"('Mulindi', 'Kabale')"
2251,"[('Mulindi', 'Kabale'), ('Kabale', 'Kasese'), ('Kasese', 'Masindi'), ('Masindi', 'Kampala'), ('Kampala', 'Lira'), ('Lira', 'Gulu')]",6,0.22541481392502236,"('Mulindi', 'Kabale')"
2252,"[('Mulindi', 'Kabale'), ('Kabale', 'Kasese'), ('Kasese', 'Masindi'), ('Masindi', 'Lira'), ('Lira', 'Gulu')]",5,0.21235253286469558,"('Mulindi', 'Kabale')"
2253,"[('Mulindi', 'Kabale'), ('Kabale', 'Kasese'), ('Kasese', 'Masindi'), ('Masindi', 'Tororo'), ('Tororo', 'Kampala'), ('Kampala', 'Lira'), ('Lira', 'Gulu')]",7,0.22634824700621184,"('Mulindi', 'Kabale')"
2254,"[('Mulindi', 'Kabale'), ('Kabale', 'Ruhengeri'), ('Ruhengeri', 'Kasese'), ('Kasese', 'Kampala'), ('Kampala', 'Lira'), ('Lira', 'Gulu')]",6,0.18076247198867082,"('Mulindi', 'Kabale')"
2255,"[('Mulindi', 'Kabale'), ('Kabale', 'Ruhengeri'), ('Ruhengeri', 'Kasese'), ('Kasese', 'Kampala'), ('Kampala', 'Masindi'), ('Masindi', 'Lira'), ('Lira', 'Gulu')]",7,0.2439159163953412,"('Mulindi', 'Kabale')"
2256,"[('Mulindi', 'Kabale'), ('Kabale', 'Ruhengeri'), ('Ruhengeri', 'Kasese'), ('Kasese', 'Masindi'), ('Masindi', 'Kampala'), ('Kampala', 'Lira'), ('Lira', 'Gulu')]",7,0.21312754498197164,"('Mulindi', 'Kabale')"
2257,"[('Mulindi', 'Kabale'), ('Kabale', 'Ruhengeri'), ('Ruhengeri', 'Kasese'), ('Kasese', 'Masindi'), ('Masindi', 'Lira'), ('Lira', 'Gulu')]",6,0.20019443260785752,"('Mulindi', 'Kabale')"
2258,"[('Mulindi', 'Ruhengeri'), ('Ruhengeri', 'Kasese'), ('Kasese', 'Kampala'), ('Kampala', 'Lira'), ('Lira', 'Gulu')]",5,0.1956286143555428,"('Mulindi', 'Ruhengeri')"
2259,"[('Mulindi', 'Ruhengeri'), ('Ruhengeri', 'Kasese'), ('Kasese', 'Kampala'), ('Kampala', 'Masindi'), ('Masindi', 'Lira'), ('Lira', 'Gulu')]",6,0.2668299424355129,"('Mulindi', 'Ruhengeri')"
2260,"[('Mulindi', 'Ruhengeri'), ('Ruhengeri', 'Kasese'), ('Kasese', 'Kampala'), ('Kampala', 'Tororo'), ('Tororo', 'Masindi'), ('Masindi', 'Lira'), ('Lira', 'Gulu')]",7,0.2618469285866323,"('Mulindi', 'Ruhengeri')"
2261,"[('Mulindi', 'Ruhengeri'), ('Ruhengeri', 'Kasese'), ('Kasese', 'Masindi'), ('Masindi', 'Kampala'), ('Kampala', 'Lira'), ('Lira', 'Gulu')]",6,0.23091017578658177,"('Mulindi', 'Ruhengeri')"
2262,"[('Mulindi', 'Ruhengeri'), ('Ruhengeri', 'Kasese'), ('Kasese', 'Masindi'), ('Masindi', 'Lira'), ('Lira', 'Gulu')]",5,0.2189469670985668,"('Mulindi', 'Ruhengeri')"
2263,"[('Mulindi', 'Ruhengeri'), ('Ruhengeri', 'Kasese'), ('Kasese', 'Masindi'), ('Masindi', 'Tororo'), ('Tororo', 'Kampala'), ('Kampala', 'Lira'), ('Lira', 'Gulu')]",7,0.23105855717326276,"('Mulindi', 'Ruhengeri')"
2264,"[('Mulindi', 'Ruhengeri'), ('Ruhengeri', 'Kabale'), ('Kabale', 'Kasese'), ('Kasese', 'Kampala'), ('Kampala', 'Lira'), ('Lira', 'Gulu')]",6,0.19075190359749297,"('Mulindi', 'Ruhengeri')"
2265,"[('Mulindi', 'Ruhengeri'), ('Ruhengeri', 'Kabale'), ('Kabale', 'Kasese'), ('Kasese', 'Kampala'), ('Kampala', 'Masindi'), ('Masindi', 'Lira'), ('Lira', 'Gulu')]",7,0.25247828634576014,"('Mulindi', 'Ruhengeri')"
2266,"[('Mulindi', 'Ruhengeri'), ('Ruhengeri', 'Kabale'), ('Kabale', 'Kasese'), ('Kasese', 'Masindi'), ('Masindi', 'Kampala'), ('Kampala', 'Lira'), ('Lira', 'Gulu')]",7,0.22168991493239062,"('Mulindi', 'Ruhengeri')"
2267,"[('Mulindi', 'Ruhengeri'), ('Ruhengeri', 'Kabale'), ('Kabale', 'Kasese'), ('Kasese', 'Masindi'), ('Masindi', 'Lira'), ('Lira', 'Gulu')]",6,0.21018386421667967,"('Mulindi', 'Ruhengeri')"
2268,"[('Mulindi', 'Kabale'), ('Kabale', 'Kasese'), ('Kasese', 'Ruhengeri'), ('Ruhengeri', 'Ngozi')]",4,0.23143082108510948,"('Mulindi', 'Kabale')"
2269,"[('Mulindi', 'Kabale'), ('Kabale', 'Kasese'), ('Kasese', 'Ruhengeri'), ('Ruhengeri', 'Rubavu'), ('Rubavu', 'Ngozi')]",5,0.20251300586420387,"('Mulindi', 'Kabale')"
2270,"[('Mulindi', 'Kabale'), ('Kabale', 'Ruhengeri'), ('Ruhengeri', 'Ngozi')]",3,0.21481991749805762,"('Mulindi', 'Kabale')"
2271,"[('Mulindi', 'Kabale'), ('Kabale', 'Ruhengeri'), ('Ruhengeri', 'Rubavu'), ('Rubavu', 'Ngozi')]",4,0.18282537436868856,"('Mulindi', 'Kabale')"
2272,"[('Mulindi', 'Ruhengeri'), ('Ruhengeri', 'Ngozi')]",2,0.26901399616993094,"('Mulindi', 'Ruhengeri')"
2273,"[('Mulindi', 'Ruhengeri'), ('Ruhengeri', 'Rubavu'), ('Rubavu', 'Ngozi')]",3,0.20828991244014775,"('Mulindi', 'Ruhengeri')"
2274,"[('Mulindi', 'Kabale'), ('Kabale', 'Kasese'), ('Kasese', 'Ruhengeri')]",3,0.1963415769800012,"('Mulindi', 'Kabale')"
2275,"[('Mulindi', 'Kabale'), ('Kabale', 'Ruhengeri')]",2,0.15388059954686925,"('Mulindi', 'Kabale')"
2276,"[('Mulindi', 'Ruhengeri')]",1,0.2013294389394275,"('Mulindi', 'Ruhengeri')"
2277,"[('Mulindi', 'Kabale'), ('Kabale', 'Kasese'), ('Kasese', 'Kampala'), ('Kampala', 'Busia'), ('Busia', 'Kisumu'), ('Kisumu', 'Eldoret')]",6,0.21184337149334784,"('Mulindi', 'Kabale')"
2278,"[('Mulindi', 'Kabale'), ('Kabale', 'Kasese'), ('Kasese', 'Kampala'), ('Kampala', 'Tororo'), ('Tororo', 'Busia'), ('Busia', 'Kisumu'), ('Kisumu', 'Eldoret')]",7,0.23468040011323363,"('Mulindi', 'Kabale')"
