,levels_ADFStatistic,levels_ADFp_value,levels_ADFisStationary,levels_ADFn_lags,levels_PPp_value,levels_PPn_lags,levels_PPisStationary,log_ADFStatistic,log_ADFp_value,log_ADFisStationary,log_ADFn_lags,log_PPp_value,log_PPn_lags,log_PPisStationary,diff_ADFStatistic,diff_ADFp_value,diff_ADFisStationary,diff_ADFn_lags,diff_PPp_value,diff_PPn_lags,diff_PPisStationary,Product,Marketplace,Obs
0,-4.285925327641989,0.0004698133875732546,"Reject the null hypothesis (H0), the data does not have a unit root and is stationary.",4,0.09857298681111426,11,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-4.334774730514876,0.0003864910891269429,"Reject the null hypothesis (H0), the data does not have a unit root and is stationary.",4,0.10311436662833717,11,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-7.369780921793039,9.03551305621722e-11,"Reject the null hypothesis (H0), the data does not have a unit root and is stationary.",0,1.7462543449378483e-13,11,"Reject the null hypothesis and accept the alternative hypothesis, which is: The process is weakly stationary.",Green Grams,Gulu,67
0,-1.4768791530384284,0.5449163182791186,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",2,0.5295345934683071,12,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-1.4098940959828052,0.5775236804253255,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",2,0.5246129931921931,12,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-8.099545493713254,1.3110780443840537e-12,"Reject the null hypothesis (H0), the data does not have a unit root and is stationary.",1,8.151985900031319e-25,12,"Reject the null hypothesis and accept the alternative hypothesis, which is: The process is weakly stationary.",Green Grams,Kisumu,91
0,-5.523956819494946,1.8506873450097452e-06,"Reject the null hypothesis (H0), the data does not have a unit root and is stationary.",5,5.262266583380322e-10,8,"Reject the null hypothesis and accept the alternative hypothesis, which is: The process is weakly stationary.",-5.355486361430051,4.198086645953705e-06,"Reject the null hypothesis (H0), the data does not have a unit root and is stationary.",5,2.280566748366595e-10,8,"Reject the null hypothesis and accept the alternative hypothesis, which is: The process is weakly stationary.",-5.730735246742847,6.60955934888394e-07,"Reject the null hypothesis (H0), the data does not have a unit root and is stationary.",5,1.4082327645283173e-12,8,"Reject the null hypothesis and accept the alternative hypothesis, which is: The process is weakly stationary.",Green Grams,Kitale,15
0,-3.6672109939909903,0.004598726184293038,"Reject the null hypothesis (H0), the data does not have a unit root and is stationary.",4,0.10054703787788805,12,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-3.3794668064674953,0.011679082972126551,"Reject the null hypothesis (H0), the data does not have a unit root and is stationary.",1,0.09740075139707549,12,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-6.553683229345065,8.723228492108626e-09,"Reject the null hypothesis (H0), the data does not have a unit root and is stationary.",0,6.440557146818787e-08,12,"Reject the null hypothesis and accept the alternative hypothesis, which is: The process is weakly stationary.",Green Grams,Lira,84
0,-2.2909006579837277,0.1749194871090356,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",0,0.12557681286857503,12,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-1.9143052756772063,0.32536167159230045,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",0,0.26011028088627874,12,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-10.100976136015548,1.0597293329799848e-17,"Reject the null hypothesis (H0), the data does not have a unit root and is stationary.",0,1.3196225835281156e-17,12,"Reject the null hypothesis and accept the alternative hypothesis, which is: The process is weakly stationary.",Green Grams,Machakos,78
0,-1.6881157125448223,0.43724578665021385,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",0,0.39395809466034815,12,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-1.7463295965553995,0.40741388486598507,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",0,0.36620817750488294,12,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-9.116006275387758,3.3011213617408283e-15,"Reject the null hypothesis (H0), the data does not have a unit root and is stationary.",0,2.272730471058627e-15,12,"Reject the null hypothesis and accept the alternative hypothesis, which is: The process is weakly stationary.",Green Grams,Makueni,79
0,-3.718099306986405,0.003865655082071823,"Reject the null hypothesis (H0), the data does not have a unit root and is stationary.",4,0.21517859691559849,12,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-2.14017304852513,0.22867051340698752,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",9,0.21191276646740725,12,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-5.116220656182347,1.30034783192888e-05,"Reject the null hypothesis (H0), the data does not have a unit root and is stationary.",9,2.06253042295632e-11,12,"Reject the null hypothesis and accept the alternative hypothesis, which is: The process is weakly stationary.",Green Grams,Masindi,73
0,-2.7826536192056954,0.06079461426133126,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",0,0.07291506579152467,11,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-2.8344285574380597,0.05352169041627095,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",0,0.06312999049154429,11,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-6.329658591441647,2.92751981664044e-08,"Reject the null hypothesis (H0), the data does not have a unit root and is stationary.",1,1.7099444946074253e-12,11,"Reject the null hypothesis and accept the alternative hypothesis, which is: The process is weakly stationary.",Green Grams,Mbale,54
0,-1.9413949982866865,0.3128450281495142,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",0,0.1906762108768058,11,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-1.9126875484029346,0.3261162290167578,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",0,0.20659719704182822,11,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-7.599494931241615,2.410385756091327e-11,"Reject the null hypothesis (H0), the data does not have a unit root and is stationary.",0,1.1582412849228852e-11,11,"Reject the null hypothesis and accept the alternative hypothesis, which is: The process is weakly stationary.",Green Grams,Meru,56
0,-1.6857833072083699,0.43845182821462453,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",4,0.05545910484941963,12,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-1.5513806195712319,0.5079584858943352,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",4,0.1189925786375664,12,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-5.951560002312652,2.1411612555097454e-07,"Reject the null hypothesis (H0), the data does not have a unit root and is stationary.",5,8.450121795475845e-20,12,"Reject the null hypothesis and accept the alternative hypothesis, which is: The process is weakly stationary.",Green Grams,Mombasa,94
0,-2.027541207289618,0.27462930152086285,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",0,0.33021890040553115,9,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-2.128716609627435,0.23312535697036746,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",0,0.28061092432021423,9,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-5.050539606655471,1.7611140741316294e-05,"Reject the null hypothesis (H0), the data does not have a unit root and is stationary.",0,3.6966622196852983e-06,9,"Reject the null hypothesis and accept the alternative hypothesis, which is: The process is weakly stationary.",Green Grams,Mwanza,27
0,-2.2010336250908376,0.20587052448360343,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",0,0.2101691702648738,12,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-2.1030534606998215,0.24328856361553763,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",0,0.2403918603037884,12,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-10.939942861387799,9.351234409872514e-20,"Reject the null hypothesis (H0), the data does not have a unit root and is stationary.",0,1.8421701879740384e-20,12,"Reject the null hypothesis and accept the alternative hypothesis, which is: The process is weakly stationary.",Green Grams,Nairobi,96
0,-2.7586075338096934,0.06443395796271159,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",1,0.0009383949068132328,12,"Reject the null hypothesis and accept the alternative hypothesis, which is: The process is weakly stationary.",-2.511581648595127,0.11268175515380086,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",1,0.003287078601308938,12,"Reject the null hypothesis and accept the alternative hypothesis, which is: The process is weakly stationary.",-13.066782016519847,1.9947928611071324e-24,"Reject the null hypothesis (H0), the data does not have a unit root and is stationary.",0,8.035229305514136e-27,12,"Reject the null hypothesis and accept the alternative hypothesis, which is: The process is weakly stationary.",Green Grams,Nakuru,96
0,-2.1161893979551287,0.23805478883374304,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",0,0.17090466702231621,11,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-2.088871668763549,0.2490128397741161,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",0,0.1790153354686938,11,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-9.57293981990708,2.262690559595443e-16,"Reject the null hypothesis (H0), the data does not have a unit root and is stationary.",0,3.4860068747158243e-16,11,"Reject the null hypothesis and accept the alternative hypothesis, which is: The process is weakly stationary.",Green Grams,Soroti,56
0,-2.111189350134043,0.24003917635864908,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",1,0.3310186202546277,11,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-2.1837272491480335,0.2122044473353602,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",0,0.1501848104694909,11,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-5.204159963747411,8.621768901803292e-06,"Reject the null hypothesis (H0), the data does not have a unit root and is stationary.",0,5.479967299153113e-05,11,"Reject the null hypothesis and accept the alternative hypothesis, which is: The process is weakly stationary.",Green Grams,Tororo,50
0,-1.5059890600983281,0.5305465834300904,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",0,0.49895069137739134,9,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-1.5027056816089488,0.5321724548022474,"Fail to reject the null hypothesis (H0), the data has a unit root and is non-stationary.",0,0.4930424409511308,9,"Fail to reject the null hypothesis (H0), which is The process contains a unit root.",-4.688449959668172,8.845902539708419e-05,"Reject the null hypothesis (H0), the data does not have a unit root and is stationary.",0,8.246468872872594e-05,9,"Reject the null hypothesis and accept the alternative hypothesis, which is: The process is weakly stationary.",Green Peas,Arusha,30
